barcode,manifest_sno,freezer_no,normalized_barcode
ET-SN-WO-SO-SH-62,389.0,,et-sn-wo-so-sh-62
ET-SN-WO-SO-SH-62,390.0,,et-sn-wo-so-sh-62
ET-SN-WO-SO-SH-89,391.0,,et-sn-wo-so-sh-89
ET-SN-WO-SO-SH-81,392.0,,et-sn-wo-so-sh-81
ET-SN-WO-SO-SH-65,393.0,,et-sn-wo-so-sh-65
ET-SN-WO-SO-SH-68,394.0,,et-sn-wo-so-sh-68
ET-SN-WO-SO-SH-68,395.0,,et-sn-wo-so-sh-68
ET-SN-WO-SO-SH-67,396.0,,et-sn-wo-so-sh-67
ET-SN-WO-SO-SH-65,397.0,,et-sn-wo-so-sh-65
ET-SN-WO-SO-SH-038,398.0,,et-sn-wo-so-sh-038
ET-SN-WO-SO-SH-036,399.0,,et-sn-wo-so-sh-036
ET-SN-WO-SO-SH-91,400.0,,et-sn-wo-so-sh-91
ET-SN-WO-SO-SH-63,401.0,,et-sn-wo-so-sh-63
ET-SN-WO-SO-SH-63,402.0,,et-sn-wo-so-sh-63
ET-SN-WO-SO-SH-67,403.0,,et-sn-wo-so-sh-67
ET-SN-WO-SO-SH-79,404.0,,et-sn-wo-so-sh-79
ET-SN-WO-SO-SH-40,405.0,,et-sn-wo-so-sh-40
ET-SN-WO-SO-SH-41,406.0,,et-sn-wo-so-sh-41
ET-SN-WO-SO-SH-41,407.0,,et-sn-wo-so-sh-41
ET-SN-WO-SO-SH-79,408.0,,et-sn-wo-so-sh-79
ET-SN-WO-SO-SH-80,409.0,,et-sn-wo-so-sh-80
ET-SN-WO-SO-SH-88,410.0,,et-sn-wo-so-sh-88
ET-SN-WO-SO-SH-87,411.0,,et-sn-wo-so-sh-87
ET-SN-WO-SO-SH-047,412.0,,et-sn-wo-so-sh-047
ET-SN-WO-SO-SH-048,413.0,,et-sn-wo-so-sh-048
ET-SN-WO-SO-SH-042,414.0,,et-sn-wo-so-sh-042
ET-SN-WO-SO-SH-039,415.0,,et-sn-wo-so-sh-039
ET-SN-WO-SO-SH-82,416.0,,et-sn-wo-so-sh-82
ET-SN-WO-SO-SH-88,417.0,,et-sn-wo-so-sh-88
ET-SN-WO-SO-SH-85,418.0,,et-sn-wo-so-sh-85
ET-SN-WO-SO-SH-037,419.0,,et-sn-wo-so-sh-037
ET-SN-WO-SO-SH-044,420.0,,et-sn-wo-so-sh-044
ET-SN-WO-SO-SH-047,421.0,,et-sn-wo-so-sh-047
ET-SN-WO-SO-SH-046,422.0,,et-sn-wo-so-sh-046
ET-SN-WO-SO-SH-038,423.0,,et-sn-wo-so-sh-038
ET-SN-WO-SO-SH-87,424.0,,et-sn-wo-so-sh-87
ET-SN-WO-SO-SH-83,425.0,,et-sn-wo-so-sh-83
ET-SN-WO-SO-SH-71,426.0,,et-sn-wo-so-sh-71
ET-SN-WO-SO-SH-036,427.0,,et-sn-wo-so-sh-036
ET-SN-WO-SO-SH-048,428.0,,et-sn-wo-so-sh-048
ET-SN-WO-SO-SH-045,429.0,,et-sn-wo-so-sh-045
ET-SN-WO-SO-SH-044,430.0,,et-sn-wo-so-sh-044
ET-SN-WO-SO-SH-044,431.0,,et-sn-wo-so-sh-044
ET-SN-WO-SO-SH-78,432.0,,et-sn-wo-so-sh-78
ET-SN-WO-SO-SH-84,433.0,,et-sn-wo-so-sh-84
ET-SN-WO-SO-SH-59,434.0,,et-sn-wo-so-sh-59
ET-SN-WO-SO-SH-040,435.0,,et-sn-wo-so-sh-040
ET-SN-WO-SO-SH-043,436.0,,et-sn-wo-so-sh-043
ET-SN-WO-SO-SH-046,437.0,,et-sn-wo-so-sh-046
ET-SN-WO-SO-SH-75,438.0,,et-sn-wo-so-sh-75
ET-SN-WO-SO-SH-039,439.0,,et-sn-wo-so-sh-039
ET-SN-WO-SO-SH-80,440.0,,et-sn-wo-so-sh-80
ET-SN-WO-SO-SH-85,441.0,,et-sn-wo-so-sh-85
ET-SN-WO-SO-SH-89,442.0,,et-sn-wo-so-sh-89
ET-SN-WO-SO-SH-030,443.0,,et-sn-wo-so-sh-030
ET-SN-WO-SO-SH-043,444.0,,et-sn-wo-so-sh-043
ET-SN-WO-SO-SH-037,445.0,,et-sn-wo-so-sh-037
ET-SN-WO-SO-SH-042,446.0,,et-sn-wo-so-sh-042
ET-SN-WO-SO-SH-83,447.0,,et-sn-wo-so-sh-83
ET-SN-WO-SO-SH-86,448.0,,et-sn-wo-so-sh-86
ET-AM-BD-BD-AAH-31,449.0,,et-am-bd-bd-aah-31
ET-AM-BD-BD-AAH-29,450.0,,et-am-bd-bd-aah-29
ET-AF-Z1-DU-DH-16,451.0,,et-af-z1-du-dh-16
ET-AF-Z1-DU-DH-20,452.0,,et-af-z1-du-dh-20
ET-AF-Z1-DU-DH-12,453.0,,et-af-z1-du-dh-12
ET-AF-Z1-DU-DH-7,454.0,,et-af-z1-du-dh-7
ET-AF-Z1-DU-DH-6,455.0,,et-af-z1-du-dh-6
ET-AF-Z1-DU-DH-8,456.0,,et-af-z1-du-dh-8
NOT VISIVLE,457.0,,not visivle
ET-AM-BD-BD-AAH-30,458.0,,et-am-bd-bd-aah-30
ET-AM-BD-BD-AAH-28,459.0,,et-am-bd-bd-aah-28
ET-AM-BD-BD-AAH-36,460.0,,et-am-bd-bd-aah-36
ET-AF-Z1-DU-DH-1,461.0,,et-af-z1-du-dh-1
ET-AF-Z1-DU-DH-5,462.0,,et-af-z1-du-dh-5
ET-AF-Z1-DU-DH-8,463.0,,et-af-z1-du-dh-8
ET-AF-Z1-DU-DH-14,464.0,,et-af-z1-du-dh-14
ET-AM-BD-BD-AAH-35,465.0,,et-am-bd-bd-aah-35
ET-AM-BD-BD-AAH-25,466.0,,et-am-bd-bd-aah-25
ET-AM-BD-BD-AAH-36,467.0,,et-am-bd-bd-aah-36
ET-AF-Z1-DU-DH-2,468.0,,et-af-z1-du-dh-2
ET-AF-Z1-DU-DH-4,469.0,,et-af-z1-du-dh-4
ET-AM-BD-BD-AAH-33,470.0,,et-am-bd-bd-aah-33
ET-AM-BD-BD-AAH-15,471.0,,et-am-bd-bd-aah-15
ET-AF-Z1-DU-DH-14,472.0,,et-af-z1-du-dh-14
ET-AM-BD-BD-AAH-22,473.0,,et-am-bd-bd-aah-22
ET-AM-BD-BD-AAH-28,474.0,,et-am-bd-bd-aah-28
ET-AM-BD-BD-AAH-29,475.0,,et-am-bd-bd-aah-29
ET-AM-BD-BD-AAH-23,476.0,,et-am-bd-bd-aah-23
ET-AF-Z1-DU-DH-1,477.0,,et-af-z1-du-dh-1
ET-AF-Z1-DU-DH-19,478.0,,et-af-z1-du-dh-19
ET-AF-Z1-DU-DH-15,479.0,,et-af-z1-du-dh-15
ET-AF-Z1-DU-DH-13,480.0,,et-af-z1-du-dh-13
ET-AM-BD-BD-AAH-35,481.0,,et-am-bd-bd-aah-35
ET-AM-BD-BD-AAH-32,482.0,,et-am-bd-bd-aah-32
ET-AM-BD-BD-AAH-30,483.0,,et-am-bd-bd-aah-30
ET-AF-ZN1-DU-DH-18,484.0,,et-af-zn1-du-dh-18
ET-AM-BD-BD-AAH-33,485.0,,et-am-bd-bd-aah-33
ET-AF-ZN1-DU-DH-12,486.0,,et-af-zn1-du-dh-12
ET-AF-ZN1-DU-DH-3,487.0,,et-af-zn1-du-dh-3
ET-AF-ZN1-DU-DH-19,488.0,,et-af-zn1-du-dh-19
ET-AM-BD-BD-AAH-20,489.0,,et-am-bd-bd-aah-20
ET-AM-BD-BD-AAH-20,490.0,,et-am-bd-bd-aah-20
ET-AM-BD-BD-AAH-4,491.0,,et-am-bd-bd-aah-4
ET-AF-ZN1-DU-DH-9,492.0,,et-af-zn1-du-dh-9
ET-AM-BD-BD-AAH-25,493.0,,et-am-bd-bd-aah-25
ET-AF-ZN1-DU-DH-3,494.0,,et-af-zn1-du-dh-3
ET-AF-ZN1-DU-DH-11,495.0,,et-af-zn1-du-dh-11
ET-AF-ZN1-DU-DH-13,496.0,,et-af-zn1-du-dh-13
ET-AM-BD-BD-AAH-27,497.0,,et-am-bd-bd-aah-27
ET-AM-BD-BD-AAH-31,498.0,,et-am-bd-bd-aah-31
ET-AF-ZN1-DU-DH-16,499.0,,et-af-zn1-du-dh-16
ET-AM-BD-BD-AAH-24,500.0,,et-am-bd-bd-aah-24
ET-AM-BD-BD-AAH-24,501.0,,et-am-bd-bd-aah-24
ET-AF-ZN10DU-DH-9,502.0,,et-af-zn10du-dh-9
ET-AM-BD-BD-AAH-26,503.0,,et-am-bd-bd-aah-26
ET-AF-ZN1-DU-DH-6,504.0,,et-af-zn1-du-dh-6
ET-AM-BD-BD-AAH-26,505.0,,et-am-bd-bd-aah-26
ET-AM-BD-BD-AAH-23,506.0,,et-am-bd-bd-aah-23
ET-AM-BD-BD-AAH-34,507.0,,et-am-bd-bd-aah-34
ET-AF-ZN1-DU-DH-5,508.0,,et-af-zn1-du-dh-5
ET-AF-ZN1-DU-DH-17,509.0,,et-af-zn1-du-dh-17
ET-AM-BD-BD-AAH-22,510.0,,et-am-bd-bd-aah-22
ET-AF-ZN1-DU-DH-18,511.0,,et-af-zn1-du-dh-18
ET-AF-ZN1-DU-DH-20,512.0,,et-af-zn1-du-dh-20
ET-BG-AS-AS-AH-75,513.0,,et-bg-as-as-ah-75
ET-AF-ZN1-DU-DH-17,514.0,,et-af-zn1-du-dh-17
ET-AF-ZN1-DU-DH-10,515.0,,et-af-zn1-du-dh-10
ET-OR-JI-GO-AH-3,516.0,,et-or-ji-go-ah-3
ET-BG-AS-AS-AH-65,517.0,,et-bg-as-as-ah-65
ET-SN-GE-DI-DH-9,518.0,,et-sn-ge-di-dh-9
ET-SN-GE-DI-DH-8,519.0,,et-sn-ge-di-dh-8
ET-SN-GE-DI-DH-2,520.0,,et-sn-ge-di-dh-2
ET-BG-AS-AS-AH-76,521.0,,et-bg-as-as-ah-76
ET-AF-ZN1-DU-DH-10,522.0,,et-af-zn1-du-dh-10
ET-BG-AS-AS-AH-76,523.0,,et-bg-as-as-ah-76
ET-AM-BD-BD-AAH-65,524.0,,et-am-bd-bd-aah-65
ET-SN-SI-HA-HH-3,525.0,,et-sn-si-ha-hh-3
ET-SN-GE-DI-DH-7,526.0,,et-sn-ge-di-dh-7
ET-SN-GE-DI-DH-1,527.0,,et-sn-ge-di-dh-1
ET-SN-GE-DI-DH-8,528.0,,et-sn-ge-di-dh-8
ET-BG-AS-AS-AH-75,529.0,,et-bg-as-as-ah-75
ET-AF-ZN1-DU-DH-2,530.0,,et-af-zn1-du-dh-2
ET-AA-YE-Y12H-61,531.0,,et-aa-ye-y12h-61
ET-AA-YE-Y12H-63,532.0,,et-aa-ye-y12h-63
ET-AA-YE-Y12H-64,533.0,,et-aa-ye-y12h-64
ET-AM-BD-BD-AAH-64,534.0,,et-am-bd-bd-aah-64
ET-SN-GE-DI-DH-5,535.0,,et-sn-ge-di-dh-5
ET-SN-GE-DI-DH-3,536.0,,et-sn-ge-di-dh-3
ET-BG-AS-AS-AH-71,537.0,,et-bg-as-as-ah-71
ET-AF-ZN1-DU-DH-11,538.0,,et-af-zn1-du-dh-11
ET-OR-JI-GO-AH-5,539.0,,et-or-ji-go-ah-5
ET-OR-JI-GO-AH-4,540.0,,et-or-ji-go-ah-4
ET-OR-JI-GO-AH-4,541.0,,et-or-ji-go-ah-4
ET-SN-SI-HA-HH-3,542.0,,et-sn-si-ha-hh-3
ET-SN-GE-DI-DH-2,543.0,,et-sn-ge-di-dh-2
ET-SN-GE-DI-DH-1,544.0,,et-sn-ge-di-dh-1
ET-BG-AS-AS-AH-72,545.0,,et-bg-as-as-ah-72
ET-AF-ZN1-DU-DH-7,546.0,,et-af-zn1-du-dh-7
ET-BG-AS-AS-AH-71,547.0,,et-bg-as-as-ah-71
ET-BG-AS-AS-AH-72,548.0,,et-bg-as-as-ah-72
ET-SN-SI-YE-YH-63,549.0,,et-sn-si-ye-yh-63
ET-AM-BD-BD-AAH-63,550.0,,et-am-bd-bd-aah-63
ET-SN-GE-DI-DH-9,551.0,,et-sn-ge-di-dh-9
ET-SN-GE-DI-DH-6,552.0,,et-sn-ge-di-dh-6
ET-BG-AS-AS-AH-77,553.0,,et-bg-as-as-ah-77
ET-OR-JI-GO-AH-2,554.0,,et-or-ji-go-ah-2
ET-OR-JI-GO-AH-3,555.0,,et-or-ji-go-ah-3
ET-BG-AS-AS-AH-74,556.0,,et-bg-as-as-ah-74
ET-AA-YE-Y12H-60,557.0,,et-aa-ye-y12h-60
ET-AA-YE-Y12H-61,558.0,,et-aa-ye-y12h-61
ET-SN-GE-DI-DH-5,559.0,,et-sn-ge-di-dh-5
ET-SN-GE-DI-DH-6,560.0,,et-sn-ge-di-dh-6
ET-BG-AS-AS-AH-73,561.0,,et-bg-as-as-ah-73
ET-AA-YE-Y12H-62,562.0,,et-aa-ye-y12h-62
ET-AM-BD-BD-AAH-62,563.0,,et-am-bd-bd-aah-62
ET-AA-YE-Y12H-64,564.0,,et-aa-ye-y12h-64
ET-AA-YE-Y12H-60,565.0,,et-aa-ye-y12h-60
ET-OR-JI-GO-AH-5,566.0,,et-or-ji-go-ah-5
ET-SN-SI-GE-DI-DH-4,567.0,,et-sn-si-ge-di-dh-4
ET-SN-SI-GE-DI-DH-7,568.0,,et-sn-si-ge-di-dh-7
ET-BG-AS-AS-AH-74,569.0,,et-bg-as-as-ah-74
ET-BG-AS-AS-AH-73,570.0,,et-bg-as-as-ah-73
ET-AM-BD-BD-AAH-65,571.0,,et-am-bd-bd-aah-65
ET-AA-YE-Y12H-62,572.0,,et-aa-ye-y12h-62
ET-AM-BD-BD-AAH-65,573.0,,et-am-bd-bd-aah-65
ET-OR-JI-GO-AH-2,574.0,,et-or-ji-go-ah-2
ET-SN-GE-DI-DH-3,575.0,,et-sn-ge-di-dh-3
ET-SN-GE-DI-DH-4,576.0,,et-sn-ge-di-dh-4
ET-OR-SWS-BE-TBH-27,577.0,,et-or-sws-be-tbh-27
ET-OR-SWS-BE-TBH-27,578.0,,et-or-sws-be-tbh-27
ET-OR-SWS-BE-TBH-28,579.0,,et-or-sws-be-tbh-28
ET-OR-SWS-BE-TBH-34,580.0,,et-or-sws-be-tbh-34
ET-OR-SWS-BE-TBH-26,581.0,,et-or-sws-be-tbh-26
ET-OR-SWS-BE-TBH-33,582.0,,et-or-sws-be-tbh-33
ET-OR-SWS-BE-TBH-32,583.0,,et-or-sws-be-tbh-32
ET-OR-SWS-BE-TBH-80,584.0,,et-or-sws-be-tbh-80
ET-OR-SWS-BE-TBH-26,585.0,,et-or-sws-be-tbh-26
ET-OR-SWS-BE-TBH-33,586.0,,et-or-sws-be-tbh-33
ET-OR-SWS-BE-TBH-31,587.0,,et-or-sws-be-tbh-31
ET-OR-SWS-BE-TBH-35,588.0,,et-or-sws-be-tbh-35
ET-OR-SWS-BE-TBH-29,589.0,,et-or-sws-be-tbh-29
ET-OR-SWS-BE-TBH-34,590.0,,et-or-sws-be-tbh-34
ET-OR-SWS-BE-TBH-30,591.0,,et-or-sws-be-tbh-30
ET-OR-SWS-BE-TBH-81,592.0,,et-or-sws-be-tbh-81
ET-OR-SWS-BE-TBH-40,593.0,,et-or-sws-be-tbh-40
ET-OR-SWS-BE-TBH-40,594.0,,et-or-sws-be-tbh-40
ET-OR-SWS-BE-TBH-32,595.0,,et-or-sws-be-tbh-32
ET-OR-SWS-BE-TBH-30,596.0,,et-or-sws-be-tbh-30
ET-OR-SWS-BE-TBH-29,597.0,,et-or-sws-be-tbh-29
ET-OR-SWS-BE-TBH-35,598.0,,et-or-sws-be-tbh-35
ET-OR-SWS-BE-TBH-28,599.0,,et-or-sws-be-tbh-28
ET-OR-SWS-BE-TBH-78,600.0,,et-or-sws-be-tbh-78
ET-OR-SWS-BE-TBH-38,601.0,,et-or-sws-be-tbh-38
ET-OR-SWS-BE-TBH-66,602.0,,et-or-sws-be-tbh-66
ET-OR-SWS-BE-TBH-39,603.0,,et-or-sws-be-tbh-39
ET-OR-SWS-BE-TBH-67,604.0,,et-or-sws-be-tbh-67
ET-OR-SWS-BE-TBH-66,605.0,,et-or-sws-be-tbh-66
ET-OR-SWS-BE-TBH-37,606.0,,et-or-sws-be-tbh-37
ET-OR-SWS-BE-TBH-36,607.0,,et-or-sws-be-tbh-36
ET-OR-SWS-BE-TBH-84,608.0,,et-or-sws-be-tbh-84
ET-OR-SWS-BE-TBH-36,609.0,,et-or-sws-be-tbh-36
ET-OR-SWS-BE-TBH-68,610.0,,et-or-sws-be-tbh-68
ET-OR-SWS-BE-TBH-37,611.0,,et-or-sws-be-tbh-37
ET-OR-SWS-BE-TBH-64,612.0,,et-or-sws-be-tbh-64
ET-OR-SWS-BE-TBH-64,613.0,,et-or-sws-be-tbh-64
ET-OR-SWS-BE-TBH-68,614.0,,et-or-sws-be-tbh-68
ET-OR-SWS-BE-TBH-39,615.0,,et-or-sws-be-tbh-39
ET-OR-SWS-BE-TBH-80,616.0,,et-or-sws-be-tbh-80
ET-OR-SWS-BE-TBH-38,617.0,,et-or-sws-be-tbh-38
ET-OR-SWS-BE-TBH-69,618.0,,et-or-sws-be-tbh-69
ET-OR-SWS-BE-TBH-70,619.0,,et-or-sws-be-tbh-70
ET-OR-SWS-BE-TBH-71,620.0,,et-or-sws-be-tbh-71
ET-OR-SWS-BE-TBH-65,621.0,,et-or-sws-be-tbh-65
ET-OR-SWS-BE-TBH-86,622.0,,et-or-sws-be-tbh-86
ET-OR-SWS-BE-TBH-86,623.0,,et-or-sws-be-tbh-86
ET-OR-SWS-BE-TBH-84,624.0,,et-or-sws-be-tbh-84
ET-OR-SWS-BE-TBH-73,625.0,,et-or-sws-be-tbh-73
ET-OR-SWS-BE-TBH-77,626.0,,et-or-sws-be-tbh-77
ET-OR-SWS-BE-TBH-75,627.0,,et-or-sws-be-tbh-75
ET-OR-SWS-BE-TBH-75,628.0,,et-or-sws-be-tbh-75
ET-OR-SWS-BE-TBH-72,629.0,,et-or-sws-be-tbh-72
ET-OR-SWS-BE-TBH-73,630.0,,et-or-sws-be-tbh-73
ET-OR-SWS-BE-TBH-83,631.0,,et-or-sws-be-tbh-83
ET-OR-SWS-BE-TBH-79,632.0,,et-or-sws-be-tbh-79
ET-OR-SWS-BE-TBH-76,633.0,,et-or-sws-be-tbh-76
ET-OR-SWS-BE-TBH-72,634.0,,et-or-sws-be-tbh-72
ET-OR-SWS-BE-TBH-74,635.0,,et-or-sws-be-tbh-74
ET-OR-SWS-BE-TBH-83,636.0,,et-or-sws-be-tbh-83
ET-OR-SWS-BE-TBH-82,637.0,,et-or-sws-be-tbh-82
ET-OR-SWS-BE-TBH-74,638.0,,et-or-sws-be-tbh-74
ET-OR-SWS-BE-TBH-81,639.0,,et-or-sws-be-tbh-81
ET-OR-SWS-BE-TBH-85,640.0,,et-or-sws-be-tbh-85
ET-OR-AR-SH-SH-021,641.0,,et-or-ar-sh-sh-021
ET-OR-AR-SH-SH-017,642.0,,et-or-ar-sh-sh-017
ET-OR-AR-SH-SH-020,643.0,,et-or-ar-sh-sh-020
ET-GA-AN-GA-GH-98,644.0,,et-ga-an-ga-gh-98
ET-GA-AN-GA-GH-99,645.0,,et-ga-an-ga-gh-99
ET-GA-AN-GA-GH-34,646.0,,et-ga-an-ga-gh-34
ET-GA-AN-GA-GH-32,647.0,,et-ga-an-ga-gh-32
ET-GA-AN-GA-GH-98,648.0,,et-ga-an-ga-gh-98
ET-OR-AR-SH-SH-012,649.0,,et-or-ar-sh-sh-012
ET-OR-AR-SH-SH-006,650.0,,et-or-ar-sh-sh-006
ET-OR-AR-SH-SH-010,651.0,,et-or-ar-sh-sh-010
ET-OR-AR-SH-SH-011,652.0,,et-or-ar-sh-sh-011
ET-OR-AR-SH-SH-019,653.0,,et-or-ar-sh-sh-019
ET-GA-AN-GA-GH-19,654.0,,et-ga-an-ga-gh-19
ET-OR-AR-SH-SH-009,655.0,,et-or-ar-sh-sh-009
ET-OR-AR-SH-SH-007,656.0,,et-or-ar-sh-sh-007
ET-OR-AR-SH-SH-008,657.0,,et-or-ar-sh-sh-008
ET-OR-AR-SH-SH-009,658.0,,et-or-ar-sh-sh-009
ET-OR-AR-SH-SH-008,659.0,,et-or-ar-sh-sh-008
ET-OR-AR-SH-SH-005,660.0,,et-or-ar-sh-sh-005
ET-OR-AR-SH-SH-002,661.0,,et-or-ar-sh-sh-002
ET-OR-AR-SH-SH-013,662.0,,et-or-ar-sh-sh-013
ET-GA-AN-GA-GH-99,663.0,,et-ga-an-ga-gh-99
ET-OR-AR-SH-SH-005,664.0,,et-or-ar-sh-sh-005
ET-OR-AR-SH-SH-015,665.0,,et-or-ar-sh-sh-015
ET-OR-AR-SH-SH-016,666.0,,et-or-ar-sh-sh-016
ET-OR-AR-SH-SH-014,667.0,,et-or-ar-sh-sh-014
ET-OR-AR-SH-SH-011,668.0,,et-or-ar-sh-sh-011
ET-OR-AR-SH-SH-014,669.0,,et-or-ar-sh-sh-014
ET-OR-AR-SH-SH-002,670.0,,et-or-ar-sh-sh-002
ET-OR-AR-SH-SH-015,671.0,,et-or-ar-sh-sh-015
ET-OR-AR-SH-SH-007,672.0,,et-or-ar-sh-sh-007
ET-OR-AR-SH-SH-003,673.0,,et-or-ar-sh-sh-003
ET-OR-AR-SH-SH-010,674.0,,et-or-ar-sh-sh-010
ET-OR-AR-SH-SH-012,675.0,,et-or-ar-sh-sh-012
ET-OR-AR-SH-SH-001,676.0,,et-or-ar-sh-sh-001
ET-OR-AR-SH-SH-003,677.0,,et-or-ar-sh-sh-003
ET-OR-AR-SH-SH-006,678.0,,et-or-ar-sh-sh-006
ET-OR-AR-SH-SH-021,679.0,,et-or-ar-sh-sh-021
ET-OR-AR-SH-SH-019,680.0,,et-or-ar-sh-sh-019
ET-OR-AR-SH-SH-004,681.0,,et-or-ar-sh-sh-004
ET-OR-AR-SH-SH-016,682.0,,et-or-ar-sh-sh-016
ET-OR-AR-SH-SH-004,683.0,,et-or-ar-sh-sh-004
ET-OR-AR-SH-SH-013,684.0,,et-or-ar-sh-sh-013
ET-OR-AR-SH-SH-022,685.0,,et-or-ar-sh-sh-022
ET-OR-AR-SH-SH-018,686.0,,et-or-ar-sh-sh-018
ET-OR-AR-SH-SH-023,687.0,,et-or-ar-sh-sh-023
ET-OR-AR-SH-SH-018,688.0,,et-or-ar-sh-sh-018
ET-OR-AR-SH-SH-026,689.0,,et-or-ar-sh-sh-026
ET-OR-AR-SH-SH-027,690.0,,et-or-ar-sh-sh-027
ET-OR-AR-SH-SH-025,691.0,,et-or-ar-sh-sh-025
ET-OR-AR-SH-SH-024,692.0,,et-or-ar-sh-sh-024
ET-OR-AR-SH-SH-022,693.0,,et-or-ar-sh-sh-022
ET-OR-AR-SH-SH-020,694.0,,et-or-ar-sh-sh-020
ET-OR-AR-SH-SH-023,695.0,,et-or-ar-sh-sh-023
ET-OR-AR-SH-SH-017,696.0,,et-or-ar-sh-sh-017
ET-OR-AR-SH-SH-030,697.0,,et-or-ar-sh-sh-030
ET-OR-AR-SH-SH-026,698.0,,et-or-ar-sh-sh-026
ET-OR-AR-SH-SH-028,699.0,,et-or-ar-sh-sh-028
ET-OR-AR-SH-SH-025,700.0,,et-or-ar-sh-sh-025
ET-OR-AR-SH-SH-029,701.0,,et-or-ar-sh-sh-029
ET-OR-AR-SH-SH-028,702.0,,et-or-ar-sh-sh-028
ET-OR-AR-SH-SH-027,703.0,,et-or-ar-sh-sh-027
ET-OR-AR-SH-SH-024,704.0,,et-or-ar-sh-sh-024
ET-GA-AN-GA-GH-43,705.0,,et-ga-an-ga-gh-43
ET-GA-AN-GA-GH-48,706.0,,et-ga-an-ga-gh-48
ET-GA-AN-GA-GH-95,707.0,,et-ga-an-ga-gh-95
ET-GA-AN-GA-GH-81,708.0,,et-ga-an-ga-gh-81
ET-GA-AN-GA-GH-51,709.0,,et-ga-an-ga-gh-51
ET-GA-AN-GA-GH-50,710.0,,et-ga-an-ga-gh-50
ET-GA-AN-GA-GH-41,711.0,,et-ga-an-ga-gh-41
ET-GA-AN-GA-GH-80,712.0,,et-ga-an-ga-gh-80
ET-GA-AN-GA-GH-39,713.0,,et-ga-an-ga-gh-39
ET-GA-AN-GA-GH-84,714.0,,et-ga-an-ga-gh-84
ET-GA-AN-GA-GH-78,715.0,,et-ga-an-ga-gh-78
ET-GA-AN-GA-GH-93,716.0,,et-ga-an-ga-gh-93
ET-GA-AN-GA-GH-49,717.0,,et-ga-an-ga-gh-49
ET-GA-AN-GA-GH-85,718.0,,et-ga-an-ga-gh-85
ET-GA-AN-GA-GH-53,719.0,,et-ga-an-ga-gh-53
ET-GA-AN-GA-GH-97,720.0,,et-ga-an-ga-gh-97
ET-GA-AN-GA-GH-84,721.0,,et-ga-an-ga-gh-84
ET-GA-AN-GA-GH-47,722.0,,et-ga-an-ga-gh-47
ET-GA-AN-GA-GH-86,723.0,,et-ga-an-ga-gh-86
ET-GA-AN-GA-GH-94,724.0,,et-ga-an-ga-gh-94
ET-GA-AN-GA-GH-40,725.0,,et-ga-an-ga-gh-40
ET-GA-AN-GA-GH-52,726.0,,et-ga-an-ga-gh-52
ET-GA-AN-GA-GH-52,727.0,,et-ga-an-ga-gh-52
ET-GA-AN-GA-GH-91,728.0,,et-ga-an-ga-gh-91
ET-GA-AN-GA-GH-50,729.0,,et-ga-an-ga-gh-50
ET-GA-AN-GA-GH-44,730.0,,et-ga-an-ga-gh-44
ET-GA-AN-GA-GH-88,731.0,,et-ga-an-ga-gh-88
ET-GA-AN-GA-GH-89,732.0,,et-ga-an-ga-gh-89
ET-GA-AN-GA-GH-89,733.0,,et-ga-an-ga-gh-89
ET-GA-AN-GA-GH-77,734.0,,et-ga-an-ga-gh-77
ET-GA-AN-GA-GH-77,735.0,,et-ga-an-ga-gh-77
ET-GA-AN-GA-GH-87,736.0,,et-ga-an-ga-gh-87
ET-GA-AN-GA-GH-86,737.0,,et-ga-an-ga-gh-86
ET-GA-AN-GA-GH-40,738.0,,et-ga-an-ga-gh-40
ET-GA-AN-GA-GH-51,739.0,,et-ga-an-ga-gh-51
ET-GA-AN-GA-GH-49,740.0,,et-ga-an-ga-gh-49
ET-GA-AN-GA-GH-48,741.0,,et-ga-an-ga-gh-48
ET-OR-SWS-BETBH-41,742.0,,et-or-sws-betbh-41
ET-OR-SWS-BETBH-50,743.0,,et-or-sws-betbh-50
ET-GA-AN-GA-GH-53,744.0,,et-ga-an-ga-gh-53
ET-OR-SWS-BETBH-49,745.0,,et-or-sws-betbh-49
ET-OR-SWS-BETBH-49,746.0,,et-or-sws-betbh-49
ET-OR-SWS-BETBH-52,747.0,,et-or-sws-betbh-52
ET-OR-SWS-BETBH-52,748.0,,et-or-sws-betbh-52
ET-OR-SWS-BETBH-42,749.0,,et-or-sws-betbh-42
ET-OR-SWS-BETBH-51,750.0,,et-or-sws-betbh-51
ET-OR-SWS-BETBH-44,751.0,,et-or-sws-betbh-44
ET-OR-SWS-BETBH-50,752.0,,et-or-sws-betbh-50
ET-OR-SWS-BETBH-44,753.0,,et-or-sws-betbh-44
ET-OR-SWS-BETBH-43,754.0,,et-or-sws-betbh-43
ET-OR-SWS-BETBH-51,755.0,,et-or-sws-betbh-51
ET-OR-SWS-BETBH-46,756.0,,et-or-sws-betbh-46
ET-OR-SWS-BETBH-47,757.0,,et-or-sws-betbh-47
ET-OR-SWS-BETBH-47,758.0,,et-or-sws-betbh-47
ET-OR-SWS-BETBH-45,759.0,,et-or-sws-betbh-45
ET-OR-SWS-BETBH-41,760.0,,et-or-sws-betbh-41
ET-OR-SWS-BETBH-43,761.0,,et-or-sws-betbh-43
ET-OR-SWS-BETBH-53,762.0,,et-or-sws-betbh-53
