barcode,manifest_sno,freezer_no,normalized_barcode
ET-AA-YE-Y12H-26,87.0,,et-aa-ye-y12h-26
ET-AA-YE-Y12H-34,88.0,,et-aa-ye-y12h-34
ET-AA-YE-Y12H-38,89.0,,et-aa-ye-y12h-38
ET-AA-YE-Y12H-5,90.0,,et-aa-ye-y12h-5
ET-AA-YE-Y12H-50,91.0,,et-aa-ye-y12h-50
ET-AA-YE-Y12H-47,92.0,,et-aa-ye-y12h-47
ET-AA-YE-Y12H-47,93.0,,et-aa-ye-y12h-47
ET-AA-YE-Y12H-23,94.0,,et-aa-ye-y12h-23
ET-AA-YE-Y12H-33,95.0,,et-aa-ye-y12h-33
ET-AA-YE-Y12H-27,96.0,,et-aa-ye-y12h-27
ET-AA-LI-W7-THHC-4,97.0,,et-aa-li-w7-thhc-4
ET-AA-YE-Y12H-37,98.0,,et-aa-ye-y12h-37
ET-AA-YE-Y12H-49,99.0,,et-aa-ye-y12h-49
ET-AA-YE-Y12H-50,100.0,,et-aa-ye-y12h-50
ET-AA-YE-Y12H-18,101.0,,et-aa-ye-y12h-18
ET-AA-YE-Y12H-26,102.0,,et-aa-ye-y12h-26
ET-AA-YE-Y12H-27,103.0,,et-aa-ye-y12h-27
ET-AA-YE-Y12H-29,104.0,,et-aa-ye-y12h-29
ET-AA-LI-W7-THHC-4,105.0,,et-aa-li-w7-thhc-4
ET-AA-KK-W10-KHC-9,106.0,,et-aa-kk-w10-khc-9
ET-AA-YE-Y12H-46,107.0,,et-aa-ye-y12h-46
ET-AA-YE-Y12H-48,108.0,,et-aa-ye-y12h-48
ET-AA-YE-Y12H-35,109.0,,et-aa-ye-y12h-35
ET-AA-YE-Y12H-29,110.0,,et-aa-ye-y12h-29
ET-AA-YE-Y12H-25,111.0,,et-aa-ye-y12h-25
ET-AA-YE-Y12H-22,112.0,,et-aa-ye-y12h-22
ET-AA-YE-Y12H-36,113.0,,et-aa-ye-y12h-36
ET-AA-LI-THHC-8,114.0,,et-aa-li-thhc-8
ET-AA-LI-THHC-7,115.0,,et-aa-li-thhc-7
ET-AA-YE-Y12H-44,116.0,,et-aa-ye-y12h-44
ET-AA-YE-Y12H-49,117.0,,et-aa-ye-y12h-49
ET-AA-YE-Y12H-32,118.0,,et-aa-ye-y12h-32
