barcode,manifest_sno
ET-AF-Z3-AK-A7HC-6,1260
ET-AA-YE-Y12H-54,1262
ET-AA-LI-W7-THHC-1,1263
ET-AA-YE-Y12H-42,1264
ET-OR-GU-AT-ADH-19,1266
ET-AM-NS-DB-DBN-2,1267
ET-AF-Z3-AK-A7HC-1,1268
ET-AA-YE-Y12H-55,1269
ET-AA-YE-Y12H-58,1270
ET-AA-YE-Y12H-40,1272
ET-OR-GU-AT-ADH-9,1273
ET-OR-GU-AT-ADH-14,1274
ET-OR-GU-AT-ADH-7,1275
ET-AF-Z3-AK-A7HC-7,1276
ET-AA-YE-Y12H-59,1277
ET-AA-YE-Y12H-56,1278
ET-AA-YE-Y12H-41,1279
ET-AA-YE-Y12H-43,1280
ET-GA-AN-GA-GH-97,1284
ET-GA-AN-GA-GH-82,1288
ET-GA-AN-GA-GH-83,1291
ET-GA-AN-GA-GH-113,1295
ET-GA-AN-GA-GH-92,1296
ET-GA-AN-GA-GH-74,1298
ET-GA-AN-GA-GH-81,1299
ET-GA-AN-GA-GH-80,1300
ET-GA-AN-GA-GH-76,1301
ET-GA-AN-GA-GH-56,1302
ET-GA-AN-GA-GH-75,1305
ET-GA-AN-GA-GH-73,1306
ET-GA-AN-GA-GH-65,1308
ET-GA-AN-GA-GH-68,1316
ET-GA-AN-GA-GH-105,1320
ET-GA-AN-GA-GH-67,1321
ET-GA-AN-GA-GH-60,1322
ET-GA-AN-GA-GH-66,1323
ET-GA-AN-GA-GH-104,1324
ET-GA-AN-GA-GH-101,1325
ET-GA-AN-GA-GH-114,1327
ET-GA-AN-GA-GH-103,1328
ET-GA-AN-GA-GH-64,1329
ET-GA-AN-GA-GH-100,1331
ET-GA-AN-GA-GH-109,1332
ET-GA-AN-GA-GH-107,1336
ET-GA-AN-GA-GH-72,1337
ET-GA-AN-GA-GH-71,1338
ET-GA-AN-GA-GH-106,1339
ET-GA-AN-GA-GH-62,1341
ET-GA-AN-GA-GH-102,1343
ET-GA-AN-GA-GH-111,1344
ET-GA-AN-GA-GH-55,1351
ET-GA-AN-GA-GH-69,1352
ET-OR-BA-GU-AT-ADH-56,1354
ET-OR-BA-GU-AT-ADH-26,1358
ET-GA-AN-GA-GH-63,1359
ET-OR-BA-GU-AT-ADH-38,1361
ET-OR-BA-GU-AT-ADH-61,1365
ET-GA-AN-GA-GH-18,1367
ET-OR-BA-GU-AT-ADH-65,1369
ET-OR-BA-GU-AT-ADH-64,1370
ET-OR-BA-GU-AT-ADH-47,1373
ET-OR-BA-GU-AT-ADH-55,1374
ET-GA-AN-GA-GH-59,1375
ET-OR-BA-GU-AT-ADH-66,1378
ET-OR-BA-GU-AT-ADH-52,1380
ET-OR-BA-GU-AT-ADH-41,1382
ET-GA-AN-GA-GH-70,1383
ET-GA-AN-GA-GH-57,1384
ET-OR-BA-GU-AT-ADH-25,1385
ET-OR-BA-GU-AT-ADH-53,1388
ET-OR-BA-GU-AT-ADH-50,1389
ET-OR-BA-GU-AT-ADH-60,1390
ET-OR-BA-GU-AT-ADH-103,1391
ET-OR-BA-GU-AT-ADH-71,1392
ET-OR-BA-GU-AT-ADH-48,1394
ET-OR-BA-GU-AT-ADH-51,1396
ET-OR-BA-GU-AT-ADH-62,1397
ET-OR-BA-GU-AT-ADH-23,1398
ET-GA-AN-GA-GH-36,1399
ET-GA-AN-GA-GH-112,1400
ET-OR-BA-GU-AT-ADH-67,1402
ET-OR-BA-GU-AT-ADH-46,1403
ET-OR-BA-GU-AT-ADH-49,1404
ET-OR-BA-GU-AT-ADH-57,1405
ET-GA-AN-GA-GH-108,1408
ET-OR-GU-AT-ADH-3,1410
ET-OR-GU-AT-ADH-20,1413
ET-OR-GU-AT-ADH-15,1414
ET-OR-GU-AT-ADH-5,1415
ET-OR-GU-AT-ADH-10,1416
ET-OR-SWS-BE-TBH-56,1417
ET-SN-WO-SO-SH-011,1421
ET-SN-WO-SO-SH-024,1423
ET-SN-WO-SO-SH-022,1424
ET-OR=SWS-BE-TBH-58,1425
ET-OR-JI-SGH-7,1426
ET-OR-JI-SGH-5,1427
ET-OR-JI-SGH-11,1428
ET-SN-WO-SO-SH-014,1429
ET-SN-WO-SO-SH-002,1430
ET-SN-WO-SO-SH-003,1431
ET-OR-SWS-BE-TBH-55,1433
ET-OR-JI-SGH-9,1434
ET-OR-JI-SGH-8,1435
ET-OR-JI-SGH-4,1437
ET-SN-WO-SO-SH-54,1439
ET-OR-SWS-BE-TBH-63,1441
ET-OR-JI-SGH-14,1442
ET-OR-JI-SGH-2,1443
ET-OR-JI-SGH-13,1444
ET-OR-JI-SGH-12,1445
ET-OR-JI-SGH-1,1447
ET-OR-JI-SGH-6,1448
ET-OR-JI-SGH-3,1449
ET-OR-JI-SGH-10,1450
ET-GA-AN-GA-GH-22,1453
ET-GA-AN-GA-GH-26,1458
ET-GA-AN-GA-GH-20,1459
ET-GA-AN-GA-GH-19,1460
ET-GA-AN-GA-GH-21,1461
ET-GA-AN-GA-GH-??,1462
ET-GA-AN-GA-GH-25,1463
ET-GA-AN-GA-GH-110,1464
ET-GA-AN-GA-GH-17,1465
ET-GA-AN-GA-GH-16,1469
ET-GA-AN-GA-GH-58,1470
ET-GA-AN-GA-GH-24,1471
ET-GA-AN-GA-GH-23,1472
ET-SN-WO-SO-SH-75,1474
ET-SN-WO-SO-SH-35,1479
ET-SN-SI-YE-YH-82,1480
ET-SN-WO-SO-SH-52,1482
ET-SN-WO-SO-SH-60,1486
ET-SN-WO-SO-SH-030,1487
ET-SN-WO-SO-SH-029,1488
ET-SN-WO-SO-SH-53,1490
ET-SN-WO-SO-SH-56,1492
ET-SN-WO-SO-SH-70,1493
ET-SN-WO-SO-SH-69,1494
ET-SN-WO-SO-SH-82,1496
ET-SN-WO-SO-SH-92,1498
ET-SN-WO-SO-SH-006,1499
ET-SN-WO-SO-SH-86,1500
ET-SN-WO-SO-SH-55,1501
ET-SN-WO-SO-SH-59,1502
ET-SN-WO-SO-SH-51,1503
ET-SN-WO-SO-SH-84,1506
ET-SN-WO-SO-SH-015,1507
ET-SN-WO-SO-SH-73,1509
ET-SN-WO-SO-SH-77,1510
ET-SN-WO-SO-SH-58,1512
ET-SN-WO-SO-SH-74,1513
ET-SN-WO-SO-SH-025,1516
ET-SN-WO-SO-SH-72,1517
ET-SN-WO-SO-SH-007,1518
ET-SN-WO-SO-SH-018,1520
ET-SN-WO-SO-SH-71,1521
ET-SN-WO-SO-SH-49,1522
ET-SN-WO-SO-SH-76,1523
ET-SN-WO-SO-SH-009,1525
ET-SN-WO-SO-SH-001,1526
ET-SN-WO-SO-SH-013,1527
ET-SN-WO-SO-SH-016,1528
ET-SN-WO-SO-SH-50,1529
ET-SN-WO-SO-SH-57,1530
ET-SN-WO-SO-SH-61,1531
ET-SN-WO-SO-SH-004,1532
ET-SN-WO-SO-SH-012,1533
ET-SN-WO-SO-SH-019,1534
ET-SN-WO-SO-SH-78,1535
ET-SN-WO-SO-SH-90,1536
ET-OR-BA-AT-ADH-33,1537
ET-SO-GO-GH-16,1538
ET-SO-GO-GH-4,1539
ET-SO-GO-GH-10,1546
ET-SO-GO-GH-12,1547
ET-SO-GO-GH-27,1550
ET-OR-GU-AT-ADH-27,1553
ET-SO-GO-GH-18,1554
ET-SO-GO-GH-3,1555
ET-SO-GO-GH-25,1558
ET-SO-GO-GH-35,1559
ET-SO-GO-GH-13,1562
ET-SO-GO-GH-5,1563
ET-SO-GO-GH-31,1567
ET-SO-GO-GH-23,1568
ET-SO-GO-GH-11,1570
ET-SO-GO-GH-1,1571
ET-SO-GO-GH-39,1572
ET-SO-GO-GH-40,1573
ET-SO-GO-GH-26,1574
ET-SO-GO-GH-32,1575
ET-SO-GO-GH-29,1576
ET-SO-GO-GH-2,1577
ET-SO-GO-GH-9,1578
ET-SO-GO-GH-15,1579
ET-SO-GO-GH-22,1582
ET-SO-GO-GH-33,1583
ET-SO-GO-GH-21,1584
ET-SO-GO-GH-19,1585
ET-SO-GO-GH-20,1586
ET-SO-GO-GH-8,1587
ET-SO-GO-GH-36,1588
ET-SO-GO-GH-30,1590
ET-SO-GO-GH-34,1591
ET-SO-GO-GH-28,1592
ET-SO-GO-GH-17,1593
ET-SO-GO-GH-6,1594
ET-SO-GO-GH-7,1595
ET-SO-GO-GH-14,1596
ET-SO-GO-GH-37,1597
ET-SO-GO-GH-38,1598
ET-SO-GO-GH-24,1600
ET-OR-GU-AT-ADH-30,1601
ET-OR-GU-AT-ADH-29,1602
ET-OR-GU-AT-ADH-24,1603
ET-OR-GU-AT-ADH-55,1604
ET-OR-GU-AT-ADH-23,1605
ET-OR-BA-GU-AT-ADH-21,1607
ET-OR-BA-GU-AT-ADH-37,1609
ET-OR-BA-GU-AT-ADH-33,1611
ET-OR-BA-GU-AT-ADH-36,1614
ET-AM-NS-SR-SRHC-18,1615
ET-AM-NS-SR-SRHC-16,1616
ET-OR-BA-GU-AT-ADH-39,1618
ET-OR-BA-GU-AT-ADH-40,1619
ET-OR-BA-GU-AT-ADH-43,1620
ET-OR-BA-GU-AT-ADH-58,1622
ET-OR-BA-GU-AT-ADH-54,1623
ET-OR-BA-GU-AT-ADH-42,1625
ET-OR-BA-GU-AT-ADH-27,1626
ET-OR-BA-GU-AT-ADH-31,1627
ET-OR-BA-GU-AT-ADH-22,1628
ET-OR-BA-GU-AT-ADH-24,1629
ET-SN-GG-AM-AH-7,1630
ET-OR-BA-GU-AT-ADH-34,1632
ET-OR-BA-GU-AT-ADH-45,1633
ET-AM-NS-SSR-SRHC-23,1634
ET-OR-BA-GU-AT-ADH-59,1635
ET-OR-BA-GU-AT-ADH-35,1636
ET-AM-NS-SR-SRHC-24,1638
ET-OR-GU-AT-ADH-28,1640
ET-OR-BA-GU-AT-ADH-44,1642
ET-OR-BA-GU-AT-ADH-63,1643
ET-OR-BA-GU-AT-ADH-29,1644
ET-AM-NS-SR-SRHC-15,1645
ET-AM-NS-SR-SRHC-26,1646
ET-AM-NS-SR-SRHC-28,1647
ET-AM-NS-SR-SRHC-25,1648
ET-AM-NS-SR-SRHC-31,1650
ET-AM-NS-SR-SRHC-23,1651
ET-AM-NS-SR-SRHC-29,1652
ET-OR-BA-GU-AT-ADH-32,1657
ET-AM-NS-SR-SRHC-20,1658
ET-AM-NS-SR-SRHC-38,1659
ET-AM-NS-SR-SRHC-27,1660
ET-AM-NS-SR-SRHC-22,1661
ET-AM-NS-SR-SRHC-21,1662
ET-AM-NS-SR-SRHC-17,1663
ET-AM-NS-SR-SRHC-30,1664
ET-BG-AS-AS-AH-92,1665
ET-BG-AS-AS-AH-82,1673
ET-BG-AS-AS-AH-94,1675
ET-BG-AS-AS-AH-100,1677
ET-BG-AS-AS-AH-97,1679
ET-BG-AS-AS-AH-70,1682
ET-BG-AS-AS-AH-67,1685
ET-BG-AS-AS-AH-88,1688
ET-BG-AS-AS-AH-77,1689
ET-BG-AS-AS-AH-89,1691
ET-BG-AS-AS-AH-78,1695
ET-BG-AS-AS-AH-80,1696
ET-BG-AS-AS-AH-59,1700
ET-BG-AS-AS-AH-90,1701
ET-BG-AS-AS-AH-61,1702
ET-BG-AS-AS-AH-69,1704
ET-BG-AS-AS-AH-85,1705
ET-BG-AS-AS-AH-64,1707
ET-BG-AS-AS-AH-86,1708
ET-BG-AS-AS-AH-65,1709
ET-BG-AS-AS-AH-96,1710
ET-BG-AS-AS-AH-63,1711
ET-BG-AS-AS-AH-91,1712
ET-BG-AS-AS-AH-83,1713
ET-BG-AS-AS-AH-??,1714
ET-BG-AS-AS-AH-95,1715
ET-BG-AS-AS-AH-84,1716
ET-BG-AS-AS-AH-99,1717
ET-BG-AS-AS-AH-58,1718
ET-BG-AS-AS-AH-79,1719
ET-BG-AS-AS-AH-98,1721
ET-BG-AS-AS-AH-68,1722
ET-BG-AS-AS-AH-60,1724
E97T-BG-AS-AS-AH-,1725
ET-BG-AS-AS-AH-62,1726
ET-BG-AS-AS-AH-87,1727
ET-BG-AS-AS-AH-93,1728
