barcode,manifest_sno
ET-SO-GO-GH-55,293
ET-SO-GO-GH-53,294
ET-SO-GO-GH-52,295
ET-SO-GO-GH-98,296
ET-SN-GG-AM-AH-9,297
ET-SO-GO-GH-68,298
ET-SO-GO-GH-61,299
ET-SO-GO-GH-100,300
ET-SO-GO-GH-91,301
ET-SO-GO-GH-59,302
ET-SO-GO-GH-50,303
ET-SO-GO-GH-54,304
ET-SNGG-AM-AH-20,305
ET-SN-GG-AM-AH-18,306
ET-SO-GO-GH-66,307
ET-SO-GO-GH-92,308
ET-SO-GO-GH-95,309
ET-SO-GO-GH-81,310
ET-SO-GO-GH-93,311
ET-SO-GO-GH-43,312
ET-SN-GG-AM-AH-4,313
ET-SO-GO-GH-65,314
ET-SO-GO-GH-69,316
ET-SO-GO-GH-49,317
ET-SO-GO-GH-94,318
ET-SO-GO-GH-45,319
ET-SO-GO-GH-88,320
ET-AM-BD-BD-AAH-61,326
ET-AM-BD-BD-AAH-37,329
ET-AM-BD-BD-AAH-60,332
ET-AM-BD-BD-AAH-39,333
ET-AM-BD-BD-AAH-59,334
ET-AM-BD-BD-AAH-40,338
ET-AM-BD-BD-AAH-56,342
ET-AM-BD-BD-AAH-43,343
ET-AM-BD-BD-AAH-46,345
ET-AM-BD-BD-AAH-52,347
ET-AM-BD-BD-AAH-55,348
ET-AM-BD-BD-AAH-50,350
ET-AM-BD-BD-AAH-44,351
ET-AM-BD-BD-AAH-53,352
ET-AM-BD-BD-AAH-38,353
ET-AM-BD-BD-AAH-41,354
ET-AM-BD-BD-AAH-48,355
ET-AM-BD-BD-AAH-51,356
ET-AM-BD-BD-AAH-54,357
ET-AM-BD-BD-AAH-47,358
ET-AM-BD-BD-AAH-42,359
ET-AM-BD-BD-AAH-45,360
ET-AM-BD-BD-AAH-58,362
ET-AM-BD-BD-AAH-49,363
ET-AM-BD-BD-AAH-57,364
ET-OR-ES-AD-AH-007,367
ET-SN-GG-AM-AH-5,372
ET-SN-GG-AM-AH-31,373
ET-GA-AN-GA-GH-29,374
ET-OR-ES-AD-AH-017,375
ET-GA-AN-GA-GH-27,377
ET-SN-GG-AM-AH-8,378
ET-SN-GG-AM-AH-13,379
ET-SN-GG-AM-AH-1,381
ET-GA-AN-GA-GH-61,382
ET-SN-GG-AM-AH-2,383
ET-GA-AN-GA-GH-38,384
ET-SN-WO-SO-SH-64,388
ET-SN-WO-SO-SH-62,390
ET-SN-WO-SO-SH-81,392
ET-SN-WO-SO-SH-68,395
ET-SN-WO-SO-SH-65,397
ET-SN-WO-SO-SH-91,400
ET-SN-WO-SO-SH-63,402
ET-SN-WO-SO-SH-67,403
ET-SN-WO-SO-SH-40,405
ET-SN-WO-SO-SH-41,407
ET-SN-WO-SO-SH-79,408
ET-SN-WO-SO-SH-88,417
ET-SN-WO-SO-SH-047,421
ET-SN-WO-SO-SH-038,423
ET-SN-WO-SO-SH-87,424
ET-SN-WO-SO-SH-036,427
ET-SN-WO-SO-SH-048,428
ET-SN-WO-SO-SH-045,429
ET-SN-WO-SO-SH-044,431
ET-SN-WO-SO-SH-040,435
ET-SN-WO-SO-SH-046,437
ET-SN-WO-SO-SH-039,439
ET-SN-WO-SO-SH-80,440
ET-SN-WO-SO-SH-85,441
ET-SN-WO-SO-SH-89,442
ET-SN-WO-SO-SH-043,444
ET-SN-WO-SO-SH-037,445
ET-SN-WO-SO-SH-042,446
ET-SN-WO-SO-SH-83,447
ET-AF-Z1-DU-DH-16,451
ET-AF-Z1-DU-DH-20,452
ET-AF-Z1-DU-DH-12,453
ET-AF-Z1-DU-DH-7,454
ET-AF-Z1-DU-DH-6,455
NOT VISIVLE,457
ET-AF-Z1-DU-DH-5,462
ET-AF-Z1-DU-DH-8,463
ET-AM-BD-BD-AAH-36,467
ET-AF-Z1-DU-DH-2,468
ET-AF-Z1-DU-DH-4,469
ET-AM-BD-BD-AAH-15,471
ET-AF-Z1-DU-DH-14,472
ET-AM-BD-BD-AAH-28,474
ET-AM-BD-BD-AAH-29,475
ET-AF-Z1-DU-DH-1,477
ET-AF-Z1-DU-DH-19,478
ET-AF-Z1-DU-DH-15,479
ET-AF-Z1-DU-DH-13,480
ET-AM-BD-BD-AAH-35,481
ET-AM-BD-BD-AAH-32,482
ET-AM-BD-BD-AAH-30,483
ET-AM-BD-BD-AAH-33,485
ET-AF-ZN1-DU-DH-12,486
ET-AF-ZN1-DU-DH-19,488
ET-AM-BD-BD-AAH-20,490
ET-AM-BD-BD-AAH-4,491
ET-AF-ZN1-DU-DH-9,492
ET-AM-BD-BD-AAH-25,493
ET-AF-ZN1-DU-DH-3,494
ET-AF-ZN1-DU-DH-13,496
ET-AM-BD-BD-AAH-27,497
ET-AM-BD-BD-AAH-31,498
ET-AF-ZN1-DU-DH-16,499
ET-AM-BD-BD-AAH-24,501
ET-AF-ZN10DU-DH-9,502
ET-AF-ZN1-DU-DH-6,504
ET-AM-BD-BD-AAH-26,505
ET-AM-BD-BD-AAH-23,506
ET-AM-BD-BD-AAH-34,507
ET-AF-ZN1-DU-DH-5,508
ET-AM-BD-BD-AAH-22,510
ET-AF-ZN1-DU-DH-18,511
ET-AF-ZN1-DU-DH-20,512
ET-AF-ZN1-DU-DH-17,514
ET-AF-ZN1-DU-DH-10,522
ET-BG-AS-AS-AH-76,523
ET-SN-GE-DI-DH-7,526
ET-SN-GE-DI-DH-8,528
ET-BG-AS-AS-AH-75,529
ET-AF-ZN1-DU-DH-2,530
ET-AA-YE-Y12H-63,532
ET-AM-BD-BD-AAH-64,534
ET-AF-ZN1-DU-DH-11,538
ET-OR-JI-GO-AH-4,541
ET-SN-SI-HA-HH-3,542
ET-SN-GE-DI-DH-2,543
ET-SN-GE-DI-DH-1,544
ET-AF-ZN1-DU-DH-7,546
ET-BG-AS-AS-AH-71,547
ET-BG-AS-AS-AH-72,548
ET-SN-SI-YE-YH-63,549
ET-AM-BD-BD-AAH-63,550
ET-SN-GE-DI-DH-9,551
ET-OR-JI-GO-AH-3,555
ET-AA-YE-Y12H-61,558
ET-SN-GE-DI-DH-5,559
ET-SN-GE-DI-DH-6,560
ET-AM-BD-BD-AAH-62,563
ET-AA-YE-Y12H-64,564
ET-AA-YE-Y12H-60,565
ET-OR-JI-GO-AH-5,566
ET-SN-SI-GE-DI-DH-4,567
ET-SN-SI-GE-DI-DH-7,568
ET-BG-AS-AS-AH-74,569
ET-BG-AS-AS-AH-73,570
ET-AA-YE-Y12H-62,572
ET-AM-BD-BD-AAH-65,573
ET-OR-JI-GO-AH-2,574
ET-SN-GE-DI-DH-3,575
ET-SN-GE-DI-DH-4,576
ET-OR-SWS-BE-TBH-27,578
ET-OR-SWS-BE-TBH-26,585
ET-OR-SWS-BE-TBH-33,586
ET-OR-SWS-BE-TBH-31,587
ET-OR-SWS-BE-TBH-34,590
ET-OR-SWS-BE-TBH-40,594
ET-OR-SWS-BE-TBH-32,595
ET-OR-SWS-BE-TBH-30,596
ET-OR-SWS-BE-TBH-29,597
ET-OR-SWS-BE-TBH-35,598
ET-OR-SWS-BE-TBH-28,599
ET-OR-SWS-BE-TBH-78,600
ET-OR-SWS-BE-TBH-67,604
ET-OR-SWS-BE-TBH-66,605
ET-OR-SWS-BE-TBH-36,609
ET-OR-SWS-BE-TBH-37,611
ET-OR-SWS-BE-TBH-64,613
ET-OR-SWS-BE-TBH-68,614
ET-OR-SWS-BE-TBH-39,615
ET-OR-SWS-BE-TBH-80,616
ET-OR-SWS-BE-TBH-38,617
ET-OR-SWS-BE-TBH-69,618
ET-OR-SWS-BE-TBH-70,619
ET-OR-SWS-BE-TBH-71,620
ET-OR-SWS-BE-TBH-65,621
ET-OR-SWS-BE-TBH-86,623
ET-OR-SWS-BE-TBH-84,624
ET-OR-SWS-BE-TBH-77,626
ET-OR-SWS-BE-TBH-75,628
ET-OR-SWS-BE-TBH-73,630
ET-OR-SWS-BE-TBH-79,632
ET-OR-SWS-BE-TBH-76,633
ET-OR-SWS-BE-TBH-72,634
ET-OR-SWS-BE-TBH-83,636
ET-OR-SWS-BE-TBH-82,637
ET-OR-SWS-BE-TBH-74,638
ET-OR-SWS-BE-TBH-81,639
ET-OR-SWS-BE-TBH-85,640
ET-GA-AN-GA-GH-34,646
ET-GA-AN-GA-GH-98,648
ET-OR-AR-SH-SH-009,658
ET-OR-AR-SH-SH-008,659
ET-GA-AN-GA-GH-99,663
ET-OR-AR-SH-SH-005,664
ET-OR-AR-SH-SH-011,668
ET-OR-AR-SH-SH-014,669
ET-OR-AR-SH-SH-002,670
ET-OR-AR-SH-SH-015,671
ET-OR-AR-SH-SH-007,672
